Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"1","Auditor 1","Propshop Events and Exhibitions Limited","Not Found","No","No","No","1 out of 10","67","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Propshop_Events_and_Exhibitions_Limited/screenshots/Propshop_Events_and_Exhibitions_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"2","Auditor 1","Metalic Technoforge Limited","metalictechnoforge.com","Yes","No","No","1.5 out of 10","53","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Metalic_Technoforge_Limited/screenshots/Metalic_Technoforge_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"3","Auditor 1","Happy Steels Limited","happysteels.com","Yes","No","No","3.1 out of 10","43","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Happy_Steels_Limited/screenshots/Happy_Steels_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"4","Auditor 1","IC Electricals Company Limited","Not Found","No","No","No","2 out of 10","50","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/IC_Electricals_Company_Limited/screenshots/IC_Electricals_Company_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"5","Auditor 1","Vinit Mobile Limited","Not Found","No","No","No","1 out of 10","57","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Vinit_Mobile_Limited/screenshots/Vinit_Mobile_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"6","Auditor 1","Teja Engineering Industries Limited","Not Found","No","No","No","3.3 out of 10","42","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Teja_Engineering_Industries_Limited/screenshots/Teja_Engineering_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"7","Auditor 1","Shreedhar Spinners Limited","Not Found","No","No","No","3.1 out of 10","43","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Shreedhar_Spinners_Limited/screenshots/Shreedhar_Spinners_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"8","Auditor 1","Avience Biomedicals Limited","avienbio.com","Yes","No","No","4.4 out of 10","35","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Avience_Biomedicals_Limited/screenshots/Avience_Biomedicals_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"9","Auditor 1","Clay Craft India Limited","claycraftindia.com","Yes","No","No","5 out of 10","31","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Clay_Craft_India_Limited/screenshots/Clay_Craft_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"10","Auditor 1","Utkal Speciality Industries India Limited","Not Found","No","No","No","6 out of 10","25","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Utkal_Speciality_Industries_India_Limited/screenshots/Utkal_Speciality_Industries_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
