[2026-08-10T17:04:50.213Z] COMPANY: "ABB India Ltd" | QUERIES: ["ABB India Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/abb-india-ltd/abb/500002/] | SELECTED: "https://www.bseindia.com/stock-share-price/abb-india-ltd/abb/500002/" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:50.436Z] COMPANY: "Aegis Logistics Ltd" | QUERIES: ["Aegis Logistics Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/aegis-logistics-ltd/aegislog/500003/] | SELECTED: "https://www.bseindia.com/stock-share-price/aegis-logistics-ltd/aegislog/500003/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:50.604Z] COMPANY: "Amara Raja Energy & Mobility Ltd" | QUERIES: ["Amara Raja Energy & Mobility Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/amara-raja-energy--mobility-ltd/arem/500008/] | SELECTED: "https://www.bseindia.com/stock-share-price/amara-raja-energy--mobility-ltd/arem/500008/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:50.803Z] COMPANY: "Ambalal Sarabhai Enterprises Ltd" | QUERIES: ["Ambalal Sarabhai Enterprises Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/ambalal-sarabhai-enterprises-ltd/ambalalsa/500009/] | SELECTED: "https://www.bseindia.com/stock-share-price/ambalal-sarabhai-enterprises-ltd/ambalalsa/500009/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:50.935Z] COMPANY: "Andhra Petrochemicals Ltd" | QUERIES: ["Andhra Petrochemicals Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/andhra-petrochemicals-ltd/andhrapet/500012/] | SELECTED: "https://www.bseindia.com/stock-share-price/andhra-petrochemicals-ltd/andhrapet/500012/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:51.067Z] COMPANY: "Ansal Properties & Infrastructure Ltd" | QUERIES: ["Ansal Properties & Infrastructure Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/ansal-properties--infrastructure-ltd/ansalapi/500013/] | SELECTED: "https://www.bseindia.com/stock-share-price/ansal-properties--infrastructure-ltd/ansalapi/500013/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:51.208Z] COMPANY: "Utique Enterprises Ltd" | QUERIES: ["Utique Enterprises Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/utique-enterprises-ltd/utique/500014/] | SELECTED: "https://www.bseindia.com/stock-share-price/utique-enterprises-ltd/utique/500014/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:51.357Z] COMPANY: "Aruna Hotels Ltd" | QUERIES: ["Aruna Hotels Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/aruna-hotels-ltd/arunahtel/500016/] | SELECTED: "https://www.bseindia.com/stock-share-price/aruna-hotels-ltd/arunahtel/500016/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:51.488Z] COMPANY: "Bombay Dyeing & Manufacturing Company Ltd" | QUERIES: ["Bombay Dyeing & Manufacturing Company Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/bombay-dyeing--manufacturing-company-ltd/bomdyeing/500020/] | SELECTED: "https://www.bseindia.com/stock-share-price/bombay-dyeing--manufacturing-company-ltd/bomdyeing/500020/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:51.664Z] COMPANY: "Asian Hotels (North) Ltd" | QUERIES: ["Asian Hotels (North) Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/asian-hotels-(north)-ltd/asianhotnr/500023/] | SELECTED: "https://www.bseindia.com/stock-share-price/asian-hotels-(north)-ltd/asianhotnr/500023/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:51.810Z] COMPANY: "Atul Ltd" | QUERIES: ["Atul Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/atul-ltd/atul/500027/] | SELECTED: "https://www.bseindia.com/stock-share-price/atul-ltd/atul/500027/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:52.017Z] COMPANY: "ATV Projects India Ltd" | QUERIES: ["ATV Projects India Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/atv-projects-india-ltd/atvpr/500028/] | SELECTED: "https://www.bseindia.com/stock-share-price/atv-projects-india-ltd/atvpr/500028/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:52.204Z] COMPANY: "Bajaj Electricals Ltd" | QUERIES: ["Bajaj Electricals Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/bajaj-electricals-ltd/bajajelec/500031/] | SELECTED: "https://www.bseindia.com/stock-share-price/bajaj-electricals-ltd/bajajelec/500031/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:52.329Z] COMPANY: "Bajaj Hindusthan Sugar Ltd" | QUERIES: ["Bajaj Hindusthan Sugar Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/bajaj-hindusthan-sugar-ltd/bajajhind/500032/] | SELECTED: "https://www.bseindia.com/stock-share-price/bajaj-hindusthan-sugar-ltd/bajajhind/500032/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T17:04:52.468Z] COMPANY: "Force Motors Ltd" | QUERIES: ["Force Motors Ltd" official website] | CANDIDATES: [https://www.bseindia.com/stock-share-price/force-motors-ltd/forcemot/500033/] | SELECTED: "https://www.bseindia.com/stock-share-price/force-motors-ltd/forcemot/500033/" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
