[2026-08-11T11:25:06.289Z] COMPANY: "Aegis Logistics Ltd" | QUERIES: ["Aegis Logistics Ltd" official website] | CANDIDATES: [https://aegislogistics.com] | SELECTED: "https://aegislogistics.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:25:16.952Z] COMPANY: "Utique Enterprises Ltd" | QUERIES: ["Utique Enterprises Ltd" official website] | CANDIDATES: [https://utiqueshop.com] | SELECTED: "https://utiqueshop.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:25:25.925Z] COMPANY: "Bombay Dyeing & Manufacturing Company Ltd" | QUERIES: ["Bombay Dyeing & Manufacturing Company Ltd" official website] | CANDIDATES: [https://bombaydyeing.com] | SELECTED: "https://bombaydyeing.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:25:43.491Z] COMPANY: "Asian Hotels (North) Ltd" | QUERIES: ["Asian Hotels (North) Ltd" official website] | CANDIDATES: [https://asianhotelsnorth.com] | SELECTED: "https://asianhotelsnorth.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:25:54.534Z] COMPANY: "Atul Ltd" | QUERIES: ["Atul Ltd" official website] | CANDIDATES: [https://atulsongaday.me] | SELECTED: "https://atulsongaday.me" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:26:03.839Z] COMPANY: "Bajaj Electricals Ltd" | QUERIES: ["Bajaj Electricals Ltd" official website] | CANDIDATES: [https://bajajelectricals.com] | SELECTED: "https://bajajelectricals.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:26:25.003Z] COMPANY: "Bajaj Hindusthan Sugar Ltd" | QUERIES: ["Bajaj Hindusthan Sugar Ltd" official website] | CANDIDATES: [https://bajajhindusthan.com] | SELECTED: "https://bajajhindusthan.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:28:45.827Z] COMPANY: "Force Motors Ltd" | QUERIES: ["Force Motors Ltd" official website] | CANDIDATES: [https://forcemotors.com] | SELECTED: "https://forcemotors.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:28:50.979Z] COMPANY: "Bajaj Finance Ltd" | QUERIES: ["Bajaj Finance Ltd" official website] | CANDIDATES: [https://bajajhousingfinance.in] | SELECTED: "https://bajajhousingfinance.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:29:15.514Z] COMPANY: "Balrampur Chini Mills Ltd" | QUERIES: ["Balrampur Chini Mills Ltd" official website] | CANDIDATES: [https://chini.com] | SELECTED: "https://chini.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-11T11:29:19.164Z] COMPANY: "BEML Ltd" | QUERIES: ["BEML Ltd" official website] | CANDIDATES: [https://bemlindia.in] | SELECTED: "https://bemlindia.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
