[2026-08-10T13:17:16.874Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.877Z] COMPANY: "21st Century Management Services Limited" | QUERIES: ["21st Century Management Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.878Z] COMPANY: "360 ONE WAM LIMITED" | QUERIES: ["360 ONE WAM LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.882Z] COMPANY: "3B Blackbio Dx Limited" | QUERIES: ["3B Blackbio Dx Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.883Z] COMPANY: "3i Infotech Limited" | QUERIES: ["3i Infotech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.886Z] COMPANY: "3M India Limited" | QUERIES: ["3M India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 2ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.887Z] COMPANY: "3P Land Holdings Limited" | QUERIES: ["3P Land Holdings Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.888Z] COMPANY: "5Paisa Capital Limited" | QUERIES: ["5Paisa Capital Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.893Z] COMPANY: "63 moons technologies limited" | QUERIES: ["63 moons technologies limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.895Z] COMPANY: "A2Z Infra Engineering Limited" | QUERIES: ["A2Z Infra Engineering Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.896Z] COMPANY: "AAA Technologies Limited" | QUERIES: ["AAA Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.899Z] COMPANY: "Aadhar Housing Finance Limited" | QUERIES: ["Aadhar Housing Finance Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.903Z] COMPANY: "Aakash Exploration Services Limited" | QUERIES: ["Aakash Exploration Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.904Z] COMPANY: "Aarey Drugs & Pharmaceuticals Limited" | QUERIES: ["Aarey Drugs & Pharmaceuticals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-10T13:17:16.905Z] COMPANY: "Aarnav Fashions Limited" | QUERIES: ["Aarnav Fashions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
