[2026-08-10T13:18:02.847Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [https://20micronsglobal.com/] | SELECTED: "https://20micronsglobal.com/" | CONFIDENCE: HIGH | TIME: 2677ms | REASON: Resolved via self-search
[2026-08-10T13:18:17.655Z] COMPANY: "21st Century Management Services Limited" | QUERIES: ["21st Century Management Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 203ms | REASON: Resolved via self-search
[2026-08-10T13:18:17.738Z] COMPANY: "360 ONE WAM LIMITED" | QUERIES: ["360 ONE WAM LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 82ms | REASON: Resolved via self-search
[2026-08-10T13:18:17.806Z] COMPANY: "3B Blackbio Dx Limited" | QUERIES: ["3B Blackbio Dx Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 67ms | REASON: Resolved via self-search
[2026-08-10T13:18:17.878Z] COMPANY: "3i Infotech Limited" | QUERIES: ["3i Infotech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 71ms | REASON: Resolved via self-search
[2026-08-10T13:18:17.961Z] COMPANY: "3M India Limited" | QUERIES: ["3M India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 82ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.037Z] COMPANY: "3P Land Holdings Limited" | QUERIES: ["3P Land Holdings Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 75ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.102Z] COMPANY: "5Paisa Capital Limited" | QUERIES: ["5Paisa Capital Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 64ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.175Z] COMPANY: "63 moons technologies limited" | QUERIES: ["63 moons technologies limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 72ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.253Z] COMPANY: "A2Z Infra Engineering Limited" | QUERIES: ["A2Z Infra Engineering Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 72ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.327Z] COMPANY: "AAA Technologies Limited" | QUERIES: ["AAA Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 74ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.399Z] COMPANY: "Aadhar Housing Finance Limited" | QUERIES: ["Aadhar Housing Finance Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 71ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.470Z] COMPANY: "Aakash Exploration Services Limited" | QUERIES: ["Aakash Exploration Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 70ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.542Z] COMPANY: "Aarey Drugs & Pharmaceuticals Limited" | QUERIES: ["Aarey Drugs & Pharmaceuticals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 69ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.611Z] COMPANY: "Aarnav Fashions Limited" | QUERIES: ["Aarnav Fashions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 66ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.676Z] COMPANY: "Aaron Industries Limited" | QUERIES: ["Aaron Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 64ms | REASON: Resolved via self-search
[2026-08-10T13:18:18.747Z] COMPANY: "Aartech Solonics Limited" | QUERIES: ["Aartech Solonics Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 69ms | REASON: Resolved via self-search
[2026-08-10T13:18:19.314Z] COMPANY: "Aarti Drugs Limited" | QUERIES: ["Aarti Drugs Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 566ms | REASON: Resolved via self-search
[2026-08-10T13:18:20.884Z] COMPANY: "Aarti Industries Limited" | QUERIES: ["Aarti Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1567ms | REASON: Resolved via self-search
[2026-08-10T13:18:22.453Z] COMPANY: "Aarti Pharmalabs Limited" | QUERIES: ["Aarti Pharmalabs Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1568ms | REASON: Resolved via self-search
[2026-08-10T13:18:24.021Z] COMPANY: "Aarti Surfactants Limited" | QUERIES: ["Aarti Surfactants Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1567ms | REASON: Resolved via self-search
[2026-08-10T13:18:25.591Z] COMPANY: "Aarvi Encon Limited" | QUERIES: ["Aarvi Encon Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1569ms | REASON: Resolved via self-search
[2026-08-10T13:18:27.166Z] COMPANY: "Aastha Spintex Limited" | QUERIES: ["Aastha Spintex Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1575ms | REASON: Resolved via self-search
[2026-08-10T13:18:28.737Z] COMPANY: "Aavas Financiers Limited" | QUERIES: ["Aavas Financiers Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1570ms | REASON: Resolved via self-search
[2026-08-10T13:18:30.305Z] COMPANY: "Aban Offshore Limited" | QUERIES: ["Aban Offshore Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1567ms | REASON: Resolved via self-search
[2026-08-10T13:18:31.876Z] COMPANY: "Abans Enterprises Limited" | QUERIES: ["Abans Enterprises Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1570ms | REASON: Resolved via self-search
[2026-08-10T13:18:33.440Z] COMPANY: "ABB India Limited" | QUERIES: ["ABB India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1563ms | REASON: Resolved via self-search
[2026-08-10T13:18:35.006Z] COMPANY: "Abbott India Limited" | QUERIES: ["Abbott India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1565ms | REASON: Resolved via self-search
[2026-08-10T13:18:36.575Z] COMPANY: "Aditya Birla Capital Limited" | QUERIES: ["Aditya Birla Capital Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1567ms | REASON: Resolved via self-search
[2026-08-10T13:18:38.151Z] COMPANY: "A B Cotspin India Limited" | QUERIES: ["A B Cotspin India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-10T13:18:39.727Z] COMPANY: "Allied Blenders and Distillers Limited" | QUERIES: ["Allied Blenders and Distillers Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1575ms | REASON: Resolved via self-search
[2026-08-10T13:18:41.299Z] COMPANY: "Aditya Birla Fashion and Retail Limited" | QUERIES: ["Aditya Birla Fashion and Retail Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
